lon,lat,SV_scaled_std,SV_unscaled_std,SV_scaled,Score,URBAN_RURA
68.85355958,38.55359832,4,5,-0.907800186,Middle,Urban
68.85213095,38.55440574,4,4,-0.869776036,Middle,Urban
68.80195261,38.57292198,3,3,-0.711340246,Middle,Urban
68.80139094,38.56330699,5,5,-1.110450538,Low,Urban
68.80331559,38.56097753,5,5,-1.041467451,Low,Urban
68.78573041,38.56959081,6,6,-1.092963534,Very Low,Urban
68.80302059,38.56125776,4,4,-0.88526434,Middle,Urban
68.80574252,38.55653349,4,4,-0.85079643,Middle,Urban
68.79900971,38.56106239,4,4,-0.923028465,Middle,Urban
68.81100335,38.56160194,5,5,-1.06439937,Low,Urban
68.81736705,38.56258607,6,6,-1.108400213,Very Low,Urban
68.82705561,38.55517021,3,4,-0.76410379,Middle,Urban
68.84767599,38.55355657,4,4,-0.878205946,Middle,Urban
68.7813184,38.63695371,4,4,-0.85491152,Middle,Urban
68.81106,38.54857,3,4,-0.755039862,Middle,Urban
68.78061174,38.63472169,4,4,-0.949414666,Middle,Urban
68.78713361,38.6042061,5,5,-1.031912961,Low,Urban
68.77856771,38.58741477,6,6,-1.152236776,Very Low,Urban
68.78961978,38.59307647,4,4,-0.951737437,Middle,Urban
68.79950444,38.59143425,4,4,-0.857271295,Middle,Urban
68.80155678,38.58695853,4,4,-0.87691935,Middle,Urban
68.79615358,38.58655196,5,5,-1.021106408,Low,Urban
68.7967446,38.57771723,6,6,-1.122256639,Very Low,Urban
68.77031078,38.62977149,4,4,-0.906594489,Middle,Urban
68.7642795,38.59204034,5,5,-1.047175993,Low,Urban
68.71512928,38.58024458,4,4,-0.975251697,Middle,Urban
68.71601586,38.5868053,3,3,-0.842524418,Middle,Urban
68.7226733,38.57426812,4,4,-0.897473521,Middle,Urban
68.71306098,38.57783953,4,4,-0.978168115,Middle,Urban
68.74012384,38.57193089,4,4,-0.94386218,Middle,Urban
68.74668377,38.59377894,5,5,-1.008986424,Low,Urban
68.74871925,38.58703473,5,5,-1.064305088,Low,Urban
68.75186292,38.59000865,5,6,-1.101771448,Low,Urban
68.75599428,38.57087572,5,5,-0.999302807,Low,Urban
68.73637076,38.5779722,5,5,-1.030342494,Low,Urban
68.74033867,38.57103741,4,4,-0.969712046,Middle,Urban
68.76889704,38.58175217,4,5,-0.987461796,Middle,Urban
68.76096666,38.55962657,5,5,-1.092770437,Low,Urban
68.76625728,38.55451369,5,5,-1.10658601,Low,Urban
68.75938118,38.55785384,5,6,-1.073204398,Low,Urban
68.74640272,38.57198977,5,5,-0.999265837,Low,Urban
68.75088275,38.55921012,5,5,-1.059916884,Low,Urban
68.75293107,38.55402576,3,3,-0.848999828,Middle,Urban
68.74961506,38.57649476,5,5,-1.039658233,Low,Urban
68.72260955,38.57184754,5,5,-1.017133388,Low,Urban
68.75085736,38.56235066,5,5,-0.980193055,Low,Urban
68.74720153,38.55241786,5,5,-0.996526394,Low,Urban
68.74198626,38.55193489,4,4,-0.910667326,Middle,Urban
68.7454598,38.55089401,5,5,-0.98907432,Low,Urban
68.74480913,38.54127185,5,5,-0.978677984,Low,Urban
68.750175,38.54497947,5,5,-1.04240876,Low,Urban
68.74893079,38.54202227,5,5,-0.99701403,Low,Urban
68.74636528,38.51421116,5,5,-1.084422915,Low,Urban
68.74380315,38.5098275,5,5,-0.99698822,Low,Urban
68.74655048,38.5138003,4,4,-0.984488469,Middle,Urban
68.75637173,38.55149042,4,4,-0.959310004,Middle,Urban
68.75783795,38.56145674,5,5,-1.054094098,Low,Urban
68.76160336,38.55234562,4,4,-0.910498319,Middle,Urban
68.76153979,38.53022953,5,5,-1.041866791,Low,Urban
68.75898815,38.5315477,4,4,-0.959824941,Middle,Urban
68.75608636,38.53102833,4,4,-0.914221251,Middle,Urban
68.74384513,38.52328709,4,4,-0.996982603,Middle,Urban
68.7504628,38.50857272,4,4,-0.902919408,Middle,Urban
68.75266003,38.51863085,4,4,-0.914929365,Middle,Urban
68.75632605,38.51933329,4,3,-0.888192788,Middle,Urban
68.76930357,38.49029737,3,3,-0.756460503,Middle,Urban
68.76335466,38.51543755,4,4,-0.948416154,Middle,Urban
68.75733537,38.51759022,5,5,-1.02502588,Low,Urban
68.76244774,38.50060979,4,5,-0.943855101,Middle,Urban
68.76429926,38.52928717,5,5,-1.07968216,Low,Urban
68.77007411,38.52898687,5,5,-1.050864856,Low,Urban
68.75787775,38.5390436,5,5,-1.04440466,Low,Urban
68.77409963,38.54300989,5,5,-1.037422357,Low,Urban
68.77866973,38.53602851,4,4,-0.871172025,Middle,Urban
68.77456919,38.54924978,3,4,-0.791168705,Middle,Urban
70.35676605,40.66098037,6,6,-0.944036419,Very Low,Urban
68.84393714,40.17764517,4,4,-0.846814677,Middle,Urban
69.33471355,40.51537694,4,5,-0.713384306,Middle,Urban
69.36481194,40.15951224,4,4,-0.898351166,Middle,Urban
67.61117912,39.49036193,5,5,-0.951204991,Low,Urban
67.62050931,39.49850954,5,5,-0.913252845,Low,Urban
68.99373526,39.91302267,3,4,-0.756581373,Middle,Urban
68.9848347,39.93982537,4,4,-0.808443493,Middle,Urban
68.99695971,39.86160558,4,4,-0.877645852,Middle,Urban
69.69810541,40.24137795,4,4,-0.857352387,Middle,Urban
69.59516409,40.2855211,4,4,-0.963307775,Middle,Urban
69.5897865,40.28939529,4,5,-0.97602852,Middle,Urban
69.62208541,40.31566796,5,5,-1.021849238,Low,Urban
69.63054522,40.30084063,4,4,-0.956969769,Middle,Urban
69.65277642,40.30933284,4,5,-0.942440632,Middle,Urban
69.61518958,40.29699489,5,5,-1.045442305,Low,Urban
69.5991312,40.27225806,4,4,-0.832483902,Middle,Urban
69.61321186,40.28174942,5,5,-1.042373845,Low,Urban
69.6412557,40.283488,5,5,-1.064277124,Low,Urban
70.62940572,40.11591633,3,3,-0.746056383,Middle,Urban
70.61489925,40.11614119,4,4,-0.865050439,Middle,Urban
70.5449957,40.04820452,4,4,-0.86494011,Middle,Urban
69.80620541,40.27423785,6,6,-1.116274301,Very Low,Urban
69.70277506,40.48234923,4,4,-0.730929977,Middle,Urban
70.40964357,40.28345291,3,3,-0.800369917,Middle,Urban
70.43421384,40.29843776,4,4,-0.908900768,Middle,Urban
69.64475225,40.56488924,4,4,-0.876912801,Middle,Urban
69.691146,40.23756058,5,5,-0.961992908,Low,Urban
69.70539596,40.22303814,5,5,-1.012897422,Low,Urban
68.6074762,39.19851983,2,3,-0.546577842,High,Rural
68.51356981,39.42072703,3,3,-0.585104448,Middle,Rural
70.27659967,40.65022283,3,4,-0.575130499,Middle,Rural
70.26696833,40.73600981,4,4,-0.666525164,Middle,Rural
70.41240291,40.76457354,3,4,-0.55175939,Middle,Rural
70.70823967,40.68049087,4,4,-0.634933607,Middle,Rural
70.51030173,40.89225157,3,3,-0.545798381,Middle,Rural
69.14570527,39.98024907,4,4,-0.767938069,Middle,Rural
69.14887514,39.67747268,3,3,-0.491532061,Middle,Rural
69.25030813,39.69914345,3,3,-0.544783464,Middle,Rural
69.06435771,39.78481355,3,4,-0.500110692,Middle,Rural
69.22980717,39.41000962,3,3,-0.492409234,Middle,Rural
69.34369197,40.4121632,3,4,-0.585280228,Middle,Rural
69.40781853,40.4465105,4,4,-0.535088134,Middle,Rural
69.35181323,40.16291347,3,3,-0.642013596,Middle,Rural
69.3015861,40.16069768,4,4,-0.648000226,Middle,Rural
69.29073026,40.27596892,3,3,-0.555313438,Middle,Rural
67.86838558,39.43922115,3,4,-0.578355794,Middle,Rural
67.57319527,39.49808663,3,4,-0.544381701,Middle,Rural
67.70976995,39.50921802,4,4,-0.567254551,Middle,Rural
67.61820931,39.53669875,4,4,-0.56861944,Middle,Rural
67.63009094,39.25768029,2,3,-0.404191453,High,Rural
67.63807255,39.48911812,4,4,-0.632115264,Middle,Rural
69.47138782,40.15579999,4,4,-0.652874882,Middle,Rural
69.51285813,40.1844107,4,5,-0.680079947,Middle,Rural
69.49775525,40.1592231,4,5,-0.660157151,Middle,Rural
69.10990719,39.855951,3,3,-0.477661491,Middle,Rural
68.97498757,39.87671837,3,3,-0.548200243,Middle,Rural
69.01820959,39.88805036,2,3,-0.455153798,High,Rural
68.94562992,39.97977767,3,4,-0.551452439,Middle,Rural
69.01521008,39.96767181,4,4,-0.646063494,Middle,Rural
69.80386845,40.19560841,3,3,-0.684095974,Middle,Rural
69.81481747,40.20118468,3,3,-0.687332943,Middle,Rural
69.74664686,40.22422398,3,4,-0.727639272,Middle,Rural
69.66058536,40.16958212,3,3,-0.602313178,Middle,Rural
69.69559622,40.27120608,3,3,-0.702525007,Middle,Rural
69.617456,40.266919,3,4,-0.78203781,Middle,Rural
69.64145827,40.30257808,3,3,-0.66881304,Middle,Rural
69.92929127,40.38291195,4,4,-0.783674953,Middle,Rural
69.6150263,40.25296204,3,3,-0.597692093,Middle,Rural
68.82965871,39.78501622,5,5,-0.777913622,Low,Rural
70.59052838,40.16807004,4,4,-0.679815832,Middle,Rural
70.66043214,40.15594935,3,3,-0.613329457,Middle,Rural
70.74892946,40.17516207,3,3,-0.645653161,Middle,Rural
70.56189806,39.98202181,2,2,-0.504654428,High,Rural
70.57623947,39.98248933,2,2,-0.526916785,High,Rural
70.56940309,39.8533101,4,4,-0.675129667,Middle,Rural
70.46642661,40.28213992,4,3,-0.769189591,Middle,Rural
70.41124915,40.2998153,3,3,-0.687270253,Middle,Rural
70.35086198,40.23274697,4,3,-0.758499194,Middle,Rural
70.30483736,40.22530407,4,3,-0.697072243,Middle,Rural
68.82276419,37.71070379,3,3,-0.74957949,Middle,Rural
69.64226878,37.81470115,3,3,-0.769557043,Middle,Rural
69.63222444,37.80445602,3,3,-0.781377975,Middle,Rural
69.34238663,38.09923551,4,4,-0.876131306,Middle,Rural
68.57972701,37.5036084,4,4,-0.699252036,Middle,Rural
68.64540594,37.59603377,3,3,-0.689446369,Middle,Rural
68.66019284,37.58215913,3,3,-0.786047961,Middle,Rural
68.83113212,37.8422849,5,4,-0.90639339,Low,Rural
68.79148422,37.94541932,3,3,-0.691562206,Middle,Rural
68.68152983,37.36163762,3,3,-0.759656668,Middle,Rural
70.02922645,38.09665775,4,3,-0.704911454,Middle,Rural
69.63890066,37.66139879,4,4,-0.786076985,Middle,Rural
69.38169388,37.48741655,3,3,-0.734076189,Middle,Rural
69.40682534,37.48136959,3,3,-0.747216397,Middle,Rural
69.09354668,37.23575006,2,2,-0.679401774,High,Rural
68.15620429,37.25642765,3,3,-0.789810246,Middle,Rural
69.05581601,38.30975398,4,4,-0.782606927,Middle,Rural
69.04901677,38.31475213,3,3,-0.875906912,Middle,Rural
69.01467612,38.33174906,4,3,-0.888289343,Middle,Rural
68.75958313,37.84793395,4,4,-0.90415059,Middle,Rural
68.77213896,37.84798624,5,5,-1.005761198,Low,Rural
68.76937075,37.85042592,4,4,-0.966747755,Middle,Rural
68.78175685,37.85072655,4,4,-0.919621862,Middle,Rural
68.78912403,37.84951381,4,4,-0.982630336,Middle,Rural
68.79382785,37.82172144,3,3,-0.840072105,Middle,Rural
68.76173935,37.81792111,3,3,-0.717011585,Middle,Rural
68.92776474,37.85779066,3,3,-0.810562209,Middle,Rural
69.76358698,37.92915827,4,3,-0.789106625,Middle,Rural
69.77015453,37.91115856,3,2,-0.708786218,Middle,Rural
69.78138523,37.89522056,3,3,-0.808305814,Middle,Rural
69.78299623,37.92105547,4,4,-0.911588125,Middle,Rural
69.79049932,37.90924025,3,3,-0.840876427,Middle,Rural
69.81236639,37.91748798,4,3,-0.906568311,Middle,Rural
69.80513935,37.9165771,4,4,-0.869003852,Middle,Rural
69.32124633,38.40013025,4,4,-0.99155916,Middle,Rural
69.30496377,38.38788307,4,4,-0.945824935,Middle,Rural
68.90107545,37.75205518,3,3,-0.477800732,Middle,Rural
68.83648491,37.69998891,3,2,-0.502858333,Middle,Rural
68.73124915,37.77198806,2,2,-0.531873085,High,Rural
68.92449544,37.61249386,1,1,-0.269338332,Very High,Rural
69.46775731,37.7345071,3,2,-0.575641745,Middle,Rural
69.62600675,37.84824786,2,2,-0.50502172,High,Rural
69.67985202,37.78584379,3,2,-0.633735752,Middle,Rural
69.09032459,38.0620873,3,3,-0.568429534,Middle,Rural
69.28016798,37.86162753,2,2,-0.429991135,High,Rural
69.28214885,38.24353325,2,2,-0.530154839,High,Rural
68.45336611,37.59568569,2,3,-0.470729118,High,Rural
68.46545189,37.55497051,1,1,-0.300681374,Very High,Rural
68.68388205,37.92784611,1,1,-0.379175176,Very High,Rural
68.68307316,38.09053292,2,2,-0.43962591,High,Rural
68.17924959,37.46300246,3,3,-0.564585523,Middle,Rural
68.19168691,37.39747289,3,3,-0.5400541,Middle,Rural
68.11375705,37.33894023,4,3,-0.642024827,Middle,Rural
68.245708,37.14185016,3,3,-0.56838511,Middle,Rural
68.64589668,37.59947199,2,2,-0.42748025,High,Rural
68.62611563,37.63209472,3,3,-0.501113006,Middle,Rural
68.64906123,37.467779,2,2,-0.386783862,High,Rural
68.8005979,37.75643352,3,3,-0.523134555,Middle,Rural
68.80351299,37.81507887,3,3,-0.68925169,Middle,Rural
68.74950828,37.83372022,2,2,-0.344273302,High,Rural
68.70329309,37.79334231,3,2,-0.533911988,Middle,Rural
68.69769353,37.79874296,3,2,-0.508559378,Middle,Rural
68.72745212,37.95857269,2,2,-0.379962714,High,Rural
68.86257288,37.92169671,2,2,-0.494534226,High,Rural
68.91815473,38.05624921,2,2,-0.412773887,High,Rural
68.68751406,37.30906526,2,2,-0.419662404,High,Rural
68.6101538,37.38739564,2,2,-0.417675233,High,Rural
70.09019406,38.20973365,3,3,-0.483584187,Middle,Rural
69.90269704,37.89823894,3,3,-0.543653911,Middle,Rural
69.6501257,37.62344327,2,2,-0.551013345,High,Rural
69.4980929,37.65710772,3,3,-0.605473524,Middle,Rural
69.36390752,37.46759916,3,3,-0.590729248,Middle,Rural
69.3851971,37.60066891,3,3,-0.532447014,Middle,Rural
69.41304717,37.59480637,3,3,-0.58443991,Middle,Rural
69.14320122,37.26142809,3,2,-0.504384065,Middle,Rural
69.07389815,37.27861562,2,2,-0.453097155,High,Rural
69.49935197,38.26482906,2,2,-0.512049466,High,Rural
70.02693465,38.38132641,4,3,-0.641987473,Middle,Rural
68.11031486,37.31396551,2,2,-0.471072739,High,Rural
68.1352902,37.2642565,3,3,-0.636645855,Middle,Rural
68.08505518,37.59255945,3,3,-0.445820642,Middle,Rural
70.21032201,37.74558623,3,3,-0.557882432,Middle,Rural
69.03771882,38.27497667,3,3,-0.590406699,Middle,Rural
68.95815497,38.09241848,2,2,-0.460950646,High,Rural
68.81782701,38.27149791,3,3,-0.538481643,Middle,Rural
68.06577396,37.40001239,1,2,-0.292429906,Very High,Rural
69.64926607,38.23876708,3,3,-0.507133572,Middle,Rural
69.7561205,37.92298464,2,2,-0.642057354,High,Rural
69.84390183,37.94682327,3,3,-0.677346802,Middle,Rural
69.87710344,38.05992154,3,3,-0.608242577,Middle,Rural
69.01585895,38.54956394,4,3,-0.957987901,Middle,Rural
69.01722446,38.56098762,4,4,-0.962750051,Middle,Rural
69.01911215,38.54617375,3,3,-0.809289255,Middle,Rural
68.23325973,38.52040815,3,3,-0.800588521,Middle,Rural
68.22256894,38.51631894,4,4,-0.918233021,Middle,Rural
68.21147625,38.52104871,4,4,-0.895583767,Middle,Rural
68.21780667,38.50623481,3,3,-0.857958355,Middle,Rural
68.22087076,38.51332594,4,4,-0.926532921,Middle,Rural
69.76523887,38.70009731,3,4,-0.846475723,Middle,Rural
70.41747802,39.05619327,4,3,-0.769784693,Middle,Rural
68.54374659,38.53263217,3,4,-0.818775651,Middle,Rural
68.56178884,38.53200883,4,4,-0.890664598,Middle,Rural
71.20037,39.22073994,4,4,-0.851245162,Middle,Rural
68.74718746,38.43101152,3,3,-0.604401606,Middle,Rural
68.805814,38.517825,3,3,-0.72900504,Middle,Rural
68.67185537,38.5430137,3,3,-0.662975949,Middle,Rural
68.32855354,38.52330156,3,3,-0.735216429,Middle,Rural
69.00408178,38.64613985,2,2,-0.540204925,High,Rural
69.10783699,38.61875315,3,3,-0.604331281,Middle,Rural
69.40326083,38.76238377,1,2,-0.24294572,Very High,Rural
68.97655733,38.5874278,3,2,-0.543558565,Middle,Rural
69.00367606,38.49920716,3,3,-0.589698336,Middle,Rural
68.97418768,38.51187558,3,3,-0.573667792,Middle,Rural
68.95746137,38.51725494,3,3,-0.576714828,Middle,Rural
69.21683415,38.48627952,3,3,-0.556388842,Middle,Rural
69.23572371,38.67829142,3,3,-0.602989155,Middle,Rural
68.27607741,38.5535073,3,3,-0.564725097,Middle,Rural
68.30400181,38.53648334,4,3,-0.617520694,Middle,Rural
68.22401063,38.65250392,2,3,-0.564338052,High,Rural
68.14680335,38.50296633,3,3,-0.587601311,Middle,Rural
68.16701865,38.47494364,3,3,-0.638380836,Middle,Rural
68.12042105,38.41844676,3,3,-0.547220791,Middle,Rural
68.16938284,38.45906515,3,3,-0.475482325,Middle,Rural
68.21572052,38.48557538,3,3,-0.590399534,Middle,Rural
68.26437591,38.45573023,3,3,-0.481743076,Middle,Rural
68.75268063,38.73184491,2,2,-0.487752783,High,Rural
68.70825048,38.67883576,3,4,-0.584888237,Middle,Rural
68.83283468,38.89068044,2,2,-0.617794308,High,Rural
70.24783389,38.98032681,2,2,-0.393407152,High,Rural
70.27115644,39.02203726,3,3,-0.560497076,Middle,Rural
70.36753108,39.04882161,2,3,-0.550832564,High,Rural
70.50423098,39.08713021,3,2,-0.549051792,Middle,Rural
68.56021366,38.50479869,3,3,-0.554564097,Middle,Rural
68.53335087,38.5079387,3,3,-0.48368936,Middle,Rural
68.57053252,38.52691981,2,2,-0.538082141,High,Rural
68.55257448,38.56780807,2,3,-0.498944949,High,Rural
68.49077064,38.52011677,3,4,-0.609647315,Middle,Rural
68.53599981,38.64903841,3,3,-0.58060013,Middle,Rural
68.64623184,38.74299146,3,3,-0.498703091,Middle,Rural
68.6605906,38.43992507,3,3,-0.534221287,Middle,Rural
68.42074602,38.22799033,2,3,-0.489144927,High,Rural
71.23032006,39.28914038,3,3,-0.486056074,Middle,Rural
71.53594935,39.31901489,3,3,-0.519765916,Middle,Rural
69.96736768,38.91166316,2,3,-0.432863037,High,Rural
69.81757178,38.84941297,2,2,-0.490536579,High,Rural
68.69865989,38.52066373,2,3,-0.588691118,High,Rural
68.6914,38.451117,2,3,-0.446907639,High,Rural
68.88263713,38.58143041,2,2,-0.445155346,High,Rural
68.89596005,38.56559974,2,2,-0.580795826,High,Rural
68.79283494,38.50684171,2,2,-0.570114921,High,Rural
68.78167259,38.50450636,2,2,-0.517364014,High,Rural
68.82633785,38.46786195,1,1,-0.353324644,Very High,Rural
68.80991121,38.43897191,2,2,-0.433368763,High,Rural
68.77070267,38.41084961,3,3,-0.560941798,Middle,Rural
68.54135933,38.29209012,2,3,-0.420635105,High,Rural
68.7174868,38.46620569,2,3,-0.495219447,High,Rural
68.73079757,38.48916717,3,3,-0.60796095,Middle,Rural
68.64914938,38.52436423,2,2,-0.500462092,High,Rural
68.74255466,38.61047964,2,3,-0.59587059,High,Rural
68.39805501,38.09471459,2,2,-0.450055183,High,Rural
70.72458256,39.04357236,2,2,-0.331971935,High,Rural
70.95521819,39.14285391,3,2,-0.507829206,Middle,Rural
69.30990024,38.51632549,3,3,-0.573546038,Middle,Rural
69.4833843,38.6261388,2,2,-0.478099225,High,Rural
70.43627822,38.70545656,3,3,-0.572373937,Middle,Rural
68.32616583,38.5102587,3,3,-0.690558096,Middle,Rural
68.30890181,38.58806878,4,4,-0.774226486,Middle,Rural
68.33913344,38.56712658,4,4,-0.762623362,Middle,Rural
68.40247411,38.55937047,3,4,-0.649089036,Middle,Rural
71.55624233,37.49221018,5,5,-1.058156705,Low,Rural
71.54622876,37.48876849,6,6,-1.116124243,Very Low,Rural
71.58295141,37.48017037,5,5,-1.037248975,Low,Rural
71.58122907,37.49511102,5,4,-1.006503206,Low,Rural
71.56720894,37.4932667,5,5,-1.025801688,Low,Rural
71.57748226,37.48230645,5,5,-1.072080316,Low,Rural
71.55393603,37.48444584,5,4,-1.097495852,Low,Rural
71.53788123,37.4881987,5,4,-1.061963822,Low,Rural
71.54444082,37.48491644,5,5,-1.111262706,Low,Rural
71.48837589,38.37690594,3,3,-0.605097952,Middle,Rural
71.35621988,38.29771149,4,3,-0.6249909,Middle,Rural
71.54139531,38.23186429,3,3,-0.486762772,Middle,Rural
71.71638855,38.54785577,4,4,-0.638631926,Middle,Rural
71.74935058,38.54987798,4,3,-0.644174025,Middle,Rural
72.667684,37.04158437,4,4,-0.51905634,Middle,Rural
72.3485668,36.99747376,4,4,-0.561222243,Middle,Rural
71.7758653,36.6830349,4,4,-0.660398943,Middle,Rural
71.60821715,36.73311691,3,3,-0.626494412,Middle,Rural
72.59052619,37.02239106,4,4,-0.545182935,Middle,Rural
70.78907033,38.45442966,3,3,-0.591439754,Middle,Rural
70.79372142,38.48260579,4,4,-0.723216189,Middle,Rural
70.6650094,38.63987598,4,4,-0.677254927,Middle,Rural
73.26478781,37.75178353,2,1,-0.366819738,High,Rural
73.97727017,38.17987354,2,2,-0.543466311,High,Rural
74.64682399,37.8313793,1,1,-0.20869152,Very High,Rural
73.9640584,38.16827953,2,2,-0.600518064,High,Rural
71.99560523,37.28073988,5,4,-0.630431234,Low,Rural
71.75373539,37.31577121,4,4,-0.669787901,Middle,Rural
71.66969343,37.3696646,5,5,-0.684190714,Low,Rural
71.33970524,38.12146718,4,3,-0.674134187,Middle,Rural
71.41621429,37.92327161,4,4,-0.777419348,Middle,Rural
71.5593892,37.95111943,4,3,-0.781746422,Middle,Rural
71.63485135,37.97619484,4,4,-0.703503473,Middle,Rural
71.63900456,37.74743131,4,4,-0.682732263,Middle,Rural
72.32965516,38.31855,3,3,-0.535698084,Middle,Rural
71.5300037,37.63865681,4,4,-0.780220797,Middle,Rural
71.51801387,37.57986936,3,3,-0.719686783,Middle,Rural
71.65652308,37.53273363,5,5,-0.760114073,Low,Rural
71.74383845,37.60331521,5,5,-0.815063427,Low,Rural
71.81950525,37.66072837,5,4,-0.722615364,Low,Rural
72.05068678,37.75603501,4,4,-0.662694913,Middle,Rural
72.36841737,37.69871534,3,3,-0.49065033,Middle,Rural
